Time|s,DOAScon.supFanStart,testBed.returnairtemp,testBed.outdoorairtemp
1.688413e+07,1,294.76227,309.92194
1.688415e+07,1,294.7403,309.93268
1.688415e+07,1,294.7403,309.93268
1.688418e+07,1,294.75653,309.94952
1.688418e+07,1,294.75653,309.94952
1.688421e+07,1,294.75363,309.9665
1.688421e+07,1,294.75363,309.9665
1.688424e+07,1,294.7458,309.98358
1.688424e+07,1,294.7458,309.98358
1.688427e+07,1,294.7386,310.00073
1.688427e+07,1,294.7386,310.00073
1.68843e+07,1,294.7901,310.018
1.68843e+07,1,294.7901,310.018
1.688433e+07,1,294.76535,310.03537
1.688433e+07,1,294.76535,310.03537
1.688436e+07,1,294.74356,310.05286
1.688436e+07,1,294.74356,310.05286
1.688437e+07,1,294.7717,310.05902
1.688437e+07,1,294.7717,310.05902
1.688439e+07,1,294.75037,310.0704
1.688439e+07,1,294.75037,310.0704
1.688442e+07,1,294.7677,310.08804
1.688442e+07,1,294.7677,310.08804
1.688443e+07,1,294.76028,310.094
1.688443e+07,1,294.76028,310.094
16884444,1,294.75766,310.10184
16884444,1,294.75766,310.10184
1.688445e+07,1,294.7583,310.10577
1.688445e+07,1,294.7583,310.10577
1.688448e+07,1,294.74698,310.1236
1.688448e+07,1,294.74698,310.1236
1.688451e+07,1,294.7458,310.1415
1.688451e+07,1,294.7458,310.1415
1.688454e+07,1,294.76474,310.1595
1.688454e+07,1,294.76474,310.1595
16884544,1,294.75766,310.1615
16884544,1,294.75766,310.1615
1.688456e+07,1,294.7645,310.17117
1.688456e+07,1,294.7645,310.17117
1.688457e+07,1,294.7514,310.17755
1.688457e+07,1,294.7514,310.17755
1.68846e+07,1,294.75732,310.19568
1.68846e+07,1,294.75732,310.19568
1.688463e+07,1,294.75653,310.2139
1.688463e+07,1,294.75653,310.2139
16884634,1,294.7807,310.2161
16884634,1,294.7807,310.2161
1.688466e+07,1,294.7805,310.2322
1.688466e+07,1,294.7805,310.2322
1.688469e+07,1,294.76743,310.25058
1.688469e+07,1,294.76743,310.25058
16884706,1,294.7612,310.25983
16884706,1,294.7612,310.25983
1.688472e+07,1,294.75296,310.269
1.688472e+07,1,294.75296,310.269
1.688475e+07,1,294.76346,310.2875
1.688475e+07,1,294.76346,310.2875
16884776,1,294.78085,310.30386
16884776,1,294.78085,310.30386
1.688478e+07,1,294.77603,310.30606
1.688478e+07,1,294.77603,310.30606
1.688481e+07,1,294.7795,310.3247
1.688481e+07,1,294.7795,310.3247
1.688484e+07,1,294.76468,310.34338
1.688484e+07,1,294.76468,310.34338
1.688487e+07,1,294.76706,310.36215
1.688487e+07,1,294.76706,310.36215
1.68849e+07,1,294.78064,310.38095
1.68849e+07,1,294.78064,310.38095
16884906,1,294.79663,310.38535
16884906,1,294.79663,310.38535
1.688493e+07,1,294.80713,310.3998
1.688493e+07,1,294.80713,310.3998
16884956,1,294.8011,310.4168
16884956,1,294.8011,310.4168
1.688496e+07,1,294.79288,310.41873
1.688496e+07,1,294.79288,310.41873
16884974,1,294.77856,310.42752
16884974,1,294.77856,310.42752
1.688499e+07,1,294.77435,310.4377
1.688499e+07,1,294.77435,310.4377
1.688502e+07,1,294.78003,310.45673
1.688502e+07,1,294.78003,310.45673
1.688505e+07,1,294.79587,310.4758
1.688505e+07,1,294.79587,310.4758
16885052,1,294.80792,310.47687
16885052,1,294.80792,310.47687
1.688506e+07,1,294.81616,310.48236
1.688506e+07,1,294.81616,310.48236
1.688508e+07,1,294.79648,310.4949
1.688508e+07,1,294.79648,310.4949
1.688509e+07,1,294.78384,310.50156
1.688509e+07,1,294.78384,310.50156
16885096,1,294.78165,310.50513
16885096,1,294.78165,310.50513
1.688511e+07,1,294.8001,310.51407
1.688511e+07,1,294.8001,310.51407
1.688514e+07,1,294.79605,310.53326
1.688514e+07,1,294.79605,310.53326
16885158,1,294.7937,310.54498
16885158,1,294.7937,310.54498
1.688517e+07,1,294.79407,310.5525
1.688517e+07,1,294.79407,310.5525
1.68852e+07,1,294.8258,310.57175
1.68852e+07,1,294.8258,310.57175
16885226,1,294.82562,310.5884
16885226,1,294.82562,310.5884
1.688523e+07,1,294.815,310.59106
1.688523e+07,1,294.815,310.59106
1.688526e+07,1,294.7986,310.6104
1.688526e+07,1,294.7986,310.6104
1.688529e+07,1,294.81,310.62976
1.688529e+07,1,294.81,310.62976
1.688532e+07,1,294.83392,310.64917
1.688532e+07,1,294.83392,310.64917
1.688535e+07,1,294.82227,310.66858
1.688535e+07,1,294.82227,310.66858
1.688536e+07,1,294.80753,310.67526
1.688536e+07,1,294.80753,310.67526
16885366,1,294.83517,310.67953
16885366,1,294.83517,310.67953
1.688538e+07,1,294.81235,310.68805
1.688538e+07,1,294.81235,310.68805
16885392,1,294.83713,310.69635
16885392,1,294.83713,310.69635
1.688541e+07,1,294.80896,310.70752
1.688541e+07,1,294.80896,310.70752
1.688541e+07,1,294.80905,310.70782
1.688541e+07,1,294.80905,310.70782
1.688544e+07,1,294.83136,310.727
1.688544e+07,1,294.83136,310.727
1.688547e+07,1,294.82562,310.74652
1.688547e+07,1,294.82562,310.74652
1.68855e+07,1,294.81125,310.76602
1.68855e+07,1,294.81125,310.76602
1.688553e+07,1,294.81863,310.78558
1.688553e+07,1,294.81863,310.78558
1.688556e+07,1,294.82632,310.8051
1.688556e+07,1,294.82632,310.8051
1.688559e+07,1,294.84525,310.82468
1.688559e+07,1,294.84525,310.82468
1.688562e+07,1,294.84494,310.84427
1.688562e+07,1,294.84494,310.84427
16885638,1,294.8172,310.85654
16885638,1,294.8172,310.85654
1.688565e+07,1,294.84497,310.86383
1.688565e+07,1,294.84497,310.86383
16885666,1,294.8185,310.87485
16885666,1,294.8185,310.87485
1.688568e+07,1,294.83597,310.8834
1.688568e+07,1,294.83597,310.8834
1.688571e+07,1,294.81805,310.90298
1.688571e+07,1,294.81805,310.90298
1.688574e+07,1,294.8196,310.92258
1.688574e+07,1,294.8196,310.92258
1.688577e+07,1,294.83752,310.94214
1.688577e+07,1,294.83752,310.94214
1.68858e+07,1,294.8373,310.96173
1.68858e+07,1,294.8373,310.96173
16885804,1,294.82922,310.9644
16885804,1,294.82922,310.9644
1.688583e+07,1,294.81894,310.9813
1.688583e+07,1,294.81894,310.9813
1.688586e+07,1,294.82025,311.00085
1.688586e+07,1,294.82025,311.00085
1.688587e+07,1,294.84402,311.0067
1.688587e+07,1,294.84402,311.0067
1.688589e+07,1,294.81607,311.0204
1.688589e+07,1,294.81607,311.0204
16885896,1,294.82733,311.02414
16885896,1,294.82733,311.02414
1.688592e+07,1,294.8284,311.03992
1.688592e+07,1,294.8284,311.03992
1.688595e+07,1,294.84436,311.05945
1.688595e+07,1,294.84436,311.05945
16885968,1,294.81668,311.0714
16885968,1,294.81668,311.0714
1.688598e+07,1,294.83478,311.07895
1.688598e+07,1,294.83478,311.07895
1.688601e+07,1,294.81342,311.09842
1.688601e+07,1,294.81342,311.09842
1.688604e+07,1,294.81726,311.1179
